"","AUS_B_1","CAN_B_1","CHE_B_1","CHN_B_1","DEU_B_1","FRA_B_1","GBR_B_1","ITA_B_1","JPN_B_1","MEX_B_1","NOR_B_1","USA_B_1","AUS_B_2","CAN_B_2","CHE_B_2","CHN_B_2","DEU_B_2","FRA_B_2","GBR_B_2","ITA_B_2","JPN_B_2","MEX_B_2","NOR_B_2","USA_B_2","AUS_B_3","CAN_B_3","CHE_B_3","CHN_B_3","DEU_B_3","FRA_B_3","GBR_B_3","ITA_B_3","JPN_B_3","MEX_B_3","NOR_B_3","USA_B_3"
"nbr.val",4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044
"nbr.null",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nbr.na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"min",1.39813667270307,1.23169878427333,-0.75605718887842,2.70366593489438,-0.342881500325646,0.262588462703497,0.867229011563899,1.98004837850386,-0.0175558194994353,5.5500103922824,1.02394332044311,1.88116199569145,-3.86802562472391,-4.83942875957863,-3.32340792179445,-3.86949686769874,-4.54404157158376,-4.7305418850364,-5.4182079871069,-7.00876965272759,-2.82677009604537,-6.13547649864474,-4.04083379345662,-5.51945187069685,-6.58967886785495,-6.25722925719429,-7.7659049799843,-5.19798193698353,-7.14734526010318,-7.82008152565146,-8.76712446702134,-8.60389842016298,-6.033338129479,-14.8346051150273,-4.68088532769793,-9.57651861403175
"max",6.77313720411014,5.89740070764767,3.85614770736248,6.52263195907539,5.41300930244647,5.48448832469392,5.79835153055182,7.99825103676858,3.25581946946466,13.4127998260841,5.2283220610229,5.86686177986344,1.00319359317357,0.582707968507981,0.909198200416618,1.6481043905285,0.140326953959729,0.0158895743461918,1.34578616631271,-0.435494669113645,-0.0193018267647217,0.673608429935189,2.26246268878664,0.710411867295152,2.24709060636384,1.30654425398645,0.615732553818245,1.25871015718947,0.731589478467338,1.07305511785522,3.64703561830737,4.75189007522725,-0.874197019352109,0.48931019560967,1.72560004839592,0.723351878437867
"range",5.37500053140707,4.66570192337434,4.6122048962409,3.818966024181,5.75589080277212,5.22189986199042,4.93112251898792,6.01820265826472,3.27337528896409,7.86278943380171,4.20437874057979,3.98569978417199,4.87121921789748,5.42213672808661,4.23260612221106,5.51760125822724,4.68436852554349,4.74643145938259,6.76399415341962,6.57327498361394,2.80746826928065,6.80908492857993,6.30329648224326,6.229863737992,8.83676947421879,7.56377351118074,8.38163753380255,6.456692094173,7.87893473857051,8.89313664350668,12.4141600853287,13.3557884953902,5.1591411101269,15.323915310637,6.40648537609384,10.2998704924696
"sum",18718.4995907753,13875.38084214,7169.68467227423,16272.6518357441,11786.4776228477,13712.0330301915,14812.35975314,19344.8185251451,6888.10310723012,34691.5811819984,13001.4514668063,16003.7386041875,-3633.45174827545,-6980.16862629074,-4776.66049480378,-6189.66662944645,-7504.70552850975,-9044.93103687438,-7114.05613979,-13860.6787385952,-5176.22043721166,-9528.55721959344,-4946.86120968373,-9738.99137778412,-8414.96275942222,-10082.7525050259,-11889.1247243386,-5024.83556849125,-15057.7465845575,-17366.0943748753,-13462.164686311,-17191.3651687281,-14938.9615553024,-16811.3938664419,-6414.17058219942,-14693.1021725577
"median",4.91538306355096,3.37430211039876,1.75282578224669,3.9335656598214,3.09828274689915,3.87736402478318,4.04889615468401,4.85781117676134,1.95989388300353,8.29940393730599,3.21907243237496,3.98553432143573,-0.825522399835193,-1.54985104163837,-1.05397783535251,-1.36790697308662,-1.75078008405911,-2.06718690176548,-1.67554812848557,-3.53601834414417,-1.32479647045703,-2.11477920864454,-1.25696039695956,-2.63107075547745,-2.60007320945261,-2.93514201975785,-3.08511249642208,-1.09684579827034,-3.94218754261239,-4.57489163199307,-3.79499204152659,-4.55435757392917,-3.86098353132355,-3.76304961648604,-1.90170223962144,-3.15297020429256
"mean",4.62870909761999,3.43110307669139,1.77291905842587,4.02390005829478,2.91455925391881,3.39071044267841,3.66279914766074,4.78358519415061,1.70328959130319,8.57853144955451,3.21499788991253,3.95740321567445,-0.898479660800063,-1.7260555455714,-1.18117222917997,-1.53058027434383,-1.85576298924573,-2.23662983107675,-1.75916323931503,-3.42746754169021,-1.27997538012158,-2.35622087527039,-1.22325944848757,-2.40825701725621,-2.0808513252775,-2.49326224159889,-2.93994182105306,-1.24254094176342,-3.7234783839163,-4.29428644284751,-3.32892301837563,-4.25107941857766,-3.69410523128151,-4.15712014501531,-1.58609559401568,-3.63330914257114
"SE.mean",0.0193405691370415,0.0173318608376934,0.0184959743500926,0.00968030216286925,0.0241351233891731,0.0214990257864826,0.0193715413282799,0.020314062811641,0.0130281653989067,0.020156717283465,0.0176721723963486,0.0155354975170842,0.0154035372298254,0.019313361987552,0.0109900883722962,0.0127282212129369,0.0167043828135258,0.0187329686593269,0.0274543324202331,0.0246887658225378,0.00983077717832968,0.0287058131816138,0.0168614434931354,0.0243767017905548,0.0289250518900607,0.0255885872398487,0.0190361163268587,0.0145363654444542,0.0270530856084076,0.0307629177180425,0.0475012430857221,0.035165630844661,0.0201791855584579,0.0448421815153916,0.0192330070621641,0.0392764759278246
"CI.mean.0.95",0.0379181705644438,0.0339799956653909,0.0362622994800695,0.0189787252860119,0.0473181383019296,0.0421499347286489,0.0379788931223898,0.0398267544812518,0.0255423816247165,0.0395182705616393,0.0346471938039103,0.0304581339092072,0.0301994190469631,0.0378648295625526,0.0215466278404867,0.024954325775748,0.0327497930494679,0.0367269388904547,0.0538256166127787,0.0484035824825681,0.0192737392156169,0.0562792083675978,0.0330577185089621,0.0477917650583797,0.0567090370185705,0.0501677281877629,0.0373212753281384,0.0284992846076201,0.053038951807755,0.0603122665536572,0.0931286057088098,0.0689440098130479,0.0395623207587888,0.0879153801077057,0.0377072896398666,0.0770035309120865
"var",1.5126889932187,1.21479090999296,1.38345671559214,0.37895616285624,2.3556469080069,1.86916959590115,1.51753774472409,1.66880168216946,0.686400630766175,1.64304990965455,1.26296415862214,0.976026206469861,0.959515670966853,1.50843606690441,0.488442579590478,0.655158796052623,1.12842322255122,1.41913712021611,3.04812605078284,2.46496017830541,0.390829063636789,3.33235188492922,1.14974267086236,2.40304019871071,3.38344748695189,2.64791332279038,1.46543934313042,0.854521141833611,2.95968001914449,3.8270681387954,9.12475257492174,5.00089772089082,1.64671489852202,8.13176110693191,1.49591021928176,6.23844247393353
"std.dev",1.22991422189464,1.10217553501834,1.17620436812322,0.615594154338912,1.53481168486785,1.36717577359356,1.23188381949115,1.29182107204112,0.828492987759205,1.28181508403301,1.12381678160728,0.987940386091115,0.97954870780725,1.22818405253627,0.698886671492938,0.809418801395559,1.06227266864549,1.19127541744809,1.74588832712257,1.57001916494844,0.625163229594311,1.82547305784808,1.0722605424347,1.55017424785432,1.83941498497536,1.6272410155814,1.21055332106042,0.924403127338723,1.72037205834799,1.95628938012642,3.02072053903067,2.236268704984,1.28324389674061,2.85162429273772,1.22307408576985,2.49768742518625
"coef.var",0.265714305210289,0.321230668500103,0.663428125798107,0.152984454241089,0.526601640644019,0.403212187152611,0.336323060541798,0.270052903755276,0.486407591515499,0.149421272343715,0.349554438319664,0.249643600171468,-1.09022913989505,-0.71155534692233,-0.59168904773366,-0.52883132950512,-0.572418285525378,-0.532620731824267,-0.992453848570849,-0.458069739786422,-0.488418167492355,-0.774746152623998,-0.876560196416583,-0.643691365475798,-0.883972325475994,-0.652655379940249,-0.411760978530798,-0.743961906017204,-0.462033582839958,-0.455556331922101,-0.907416759821816,-0.526047265833536,-0.347376107717279,-0.685961481329095,-0.771122554267532,-0.687441483005418
"JB_value",262.679672952991,274.286261744039,289.824046922173,2047.45367319992,347.040926533572,417.880931959767,329.212555152568,106.101156621905,406.313309084706,834.740315597328,333.917168722481,323.945473026911,105.808108042599,251.083264714816,219.715964634753,275.315492213077,210.097633134063,162.987054784019,211.589118699227,183.384751380809,155.924288965094,340.695483298108,167.101565239213,139.146677515203,296.576963109685,206.332902344976,543.782055647725,1128.36002623526,234.598901182903,210.075771357569,159.959708127299,194.463740408728,278.292117656904,321.622369927418,337.555640083073,228.959834968205
"JB_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
